date,content,replyCount,retweetCount,likeCount,media,cleaned,sentiment_number,sentiment_label
2018-09-27 00:07:08+00:00,Bari I appreciate your perspective and vision. You brought me closer to Rocky too. Jedis never let perception and cancel culture get between them.,143,899,8097,,bari appreciate perspective vision brought closer rocky jedis never let perception cancel culture get,0.0,Neutral
2018-09-27 00:07:01+00:00,Bari challenged me when no one else did and when he got in trouble I was scared to say he was my friend just like I did with xxx and that was some pussy shit on my part. I let the perception and the robots control me. That’s the true sunken place.,444,3054,26360,,bari challenged one else got trouble scared say friend like xxx pussy shit part let perception robots control true sunken place,-0.01666666666666668,Negative
2018-09-27 00:06:52+00:00,🙌🙌🙌💜💜💜 there’s no way I would have the number 1 record in the world without this man here.  He broke me out of my pretentious rich nigga shell. https://t.co/PKQzE07xam,122,971,11523,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/DoDzICzU0AAHtS4?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/DoDzICzU0AAHtS4?format=jpg&name=large'}]",way would number record world without man broke pretentious rich nigga shell,0.037500000000000006,Positive
2018-09-26 21:23:17+00:00,Happy birthday Ant https://t.co/8qCgOqC5A4,203,921,12075,"[{'_type': 'snscrape.modules.twitter.Video', 'thumbnailUrl': 'https://pbs.twimg.com/ext_tw_video_thumb/1045061198448750592/pu/img/TpvC4b-Ev2YKkkhH.jpg', 'variants': [{'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1045061198448750592/pu/vid/360x450/jdzjjf-m2x4fyEvQ.mp4?tag=5', 'bitrate': 832000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1045061198448750592/pu/vid/180x224/oQ8DcoUmNyzHCwF5.mp4?tag=5', 'bitrate': 256000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1045061198448750592/pu/pl/FVWxAVGkdROqm16M.m3u8?tag=5', 'bitrate': None}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1045061198448750592/pu/vid/720x900/BuO5T0Ggnth07tvE.mp4?tag=5', 'bitrate': 2176000}], 'duration': 15.133, 'views': 696615}]",happy birthday ant,0.8,Positive
2018-09-26 01:56:17+00:00,"🙈☺️🌍💯👽💜🚀🙌 

🍎level https://t.co/c7eY5jkjuI",400,2013,27370,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/Dn_CjqaU8AAEwPH?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/Dn_CjqaU8AAEwPH?format=jpg&name=large'}]",level,0.0,Neutral
2018-09-26 00:01:13+00:00,working on the YZY operating system with Nick Knight and team https://t.co/fViQMFqJO6,179,752,8570,"[{'_type': 'snscrape.modules.twitter.Video', 'thumbnailUrl': 'https://pbs.twimg.com/ext_tw_video_thumb/1044738525487218688/pu/img/hL43cUI38xS-DrAd.jpg', 'variants': [{'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1044738525487218688/pu/vid/640x360/HIJxXc8Xrfaxwc6U.mp4?tag=5', 'bitrate': 832000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1044738525487218688/pu/vid/1280x720/nxkD5-dZiZsoARXj.mp4?tag=5', 'bitrate': 2176000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1044738525487218688/pu/pl/V-kHfsswMt6WEtLi.m3u8?tag=5', 'bitrate': None}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1044738525487218688/pu/vid/320x180/sfNNOqPrxXyflCVI.mp4?tag=5', 'bitrate': 256000}], 'duration': 21.862, 'views': 558628}]",working yzy operating system nick knight team,0.0,Neutral
2018-09-25 17:37:03+00:00,YZY FD CLTHNG SHLTR XPSR https://t.co/VO890WArE6,281,737,8353,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/Dn9QT2oV4AAyoCC?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/Dn9QT2oV4AAyoCC?format=jpg&name=large'}]",yzy clthng shltr xpsr,0.0,Neutral
2018-09-25 15:17:51+00:00,I think I stand pigeon toed cause of Michael Jordan 😊 https://t.co/bDW5lSp3y2,331,1745,23680,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/Dn8wcvBUUAEotAh?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/Dn8wcvBUUAEotAh?format=jpg&name=large'}]",think stand pigeon toed cause michael jordan,0.0,Neutral
2018-09-24 16:47:00+00:00,namaste means the divine in me sees the divine in you.   Namaste - the divine is us,440,6650,31787,,namaste means divine sees divine namaste divine,0.0,Neutral
2018-09-24 16:34:18+00:00,the term followers should be changed to observers. We need to follow our spirit,703,7075,43930,,term followers changed observers need follow spirit,0.0,Neutral
